domain,context,runs,median_tps,min_tps,max_tps,mean_tps,stdev_tps,tokens_per_run,median_prefill_tps
code,256,3,9.66,9.31,10.75,9.906666666666666,0.7510215265445678,256,51.31
code,2048,3,9.08,7.94,9.58,8.866666666666667,0.8405553719614984,256,48.8
prose,256,3,9.31,8.99,10.08,9.46,0.5602677931132575,256,48.82
prose,2048,3,9.44,8.79,10.08,9.436666666666666,0.6450064599159716,256,50.36
structured,256,3,9.63,9.55,10.53,9.903333333333334,0.5441813423237997,256,50.95
structured,2048,3,8.97,8.53,9.11,8.87,0.30265491900843133,256,48.57
