mode,policy,runs,speedup_vs_ordinary,speedup_vs_default,vs_default_ci_low,vs_default_ci_high,runs_slower_than_ordinary,runs_slower_than_default,worst_vs_ordinary,worst_vs_default
resident_seed_batch,default,240,1.215638839516306,1.0,1.0,1.0,80,0,0.8559689337561517,1.0
resident_seed_batch,existing_cost_gate,240,1.1737279889291898,0.9655236002464413,0.9598905013906394,0.9708300335633165,80,163,0.7474586521415698,0.8124355184994028
resident_seed_batch,fixed_1,240,0.830809307220967,0.683434322937181,0.6783274436223747,0.688393727810629,240,240,0.7524191998444558,0.5058731160687475
resident_seed_batch,fixed_2,240,0.9571804889666092,0.7873888673608557,0.7815005757030854,0.7930530610713656,110,240,0.7782841285350018,0.622917259551276
resident_seed_batch,fixed_3,240,1.0879582463513642,0.8949683170572726,0.8869562742659741,0.9027179582997115,80,176,0.6274658841148563,0.6904327800893826
resident_seed_batch,fixed_4,240,1.0644346283087829,0.8756174890992409,0.8680715327534821,0.8832347912034754,80,171,0.5774561053147005,0.6459030622873911
resident_seed_batch,fixed_5,240,1.0306553727934058,0.8478302430707925,0.8412333472744463,0.8541585615325809,80,177,0.5358406110374913,0.6003489814785716
resident_seed_batch,h1,240,1.1832469558658294,0.9733540237465882,0.9636682260945872,0.9834379530048711,78,107,0.9441771030531406,0.6471477687032088
resident_seed_batch,h2,240,1.2086782718079851,0.9942741483061774,0.9843412389420724,1.0041882175263135,77,94,0.9459653730244452,0.6501222747777827
resident_seed_batch,ordinary,240,1.0,0.8226127427763766,0.8164227420575202,0.8285792507204804,0,160,1.0,0.5582151668198104
separate_seed,default,240,1.0685081306015134,1.0,1.0,1.0,80,0,0.7469791331593325,1.0
separate_seed,existing_cost_gate,240,1.0820461227822986,1.0126699945401108,1.010052562434248,1.0151823796390222,80,64,0.7939553754401951,0.8983570366831992
separate_seed,fixed_1,240,0.830809307220967,0.7775413994774802,0.7743112552534447,0.7809084895142218,240,239,0.7524191998444558,0.6214195908465834
separate_seed,fixed_2,240,0.9571804889666092,0.895810206355442,0.8922208596027301,0.8994678086936768,110,211,0.7782841285350018,0.7649192491775969
separate_seed,fixed_3,240,1.0148993913425413,0.9498284217745789,0.9460549728157932,0.9535408359137557,80,204,0.7568919170591735,0.85218460666809
separate_seed,fixed_4,240,1.035621529915578,0.9692219462406693,0.9649814057328898,0.9735177359361683,80,197,0.7146634770517957,0.8745932818079384
separate_seed,fixed_5,240,1.037043391586946,0.9705526442771619,0.9678991409117024,0.9732774394403176,80,187,0.6942206856606536,0.8659983028638714
separate_seed,h1,240,1.092374960658637,1.0223365919019145,1.015281603547678,1.0295549356141371,81,129,0.9682845605413817,0.8073755014128865
separate_seed,h2,240,1.1026064335580534,1.0319120669089756,1.024931949562357,1.0392420863021052,81,115,0.9714949074532745,0.796405149499087
separate_seed,ordinary,240,1.0,0.9358843151123736,0.9318643414602703,0.9400735309274743,0,160,1.0,0.7155497301696054
