run,instrumentation,ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes,output_sha256
0,off,256,256,54.57,128,11.33,153.997,127,11.40,0,5892bb0f9ad057f76cfc257d765c7e3bbeb7b88666ed683d1105957baf517765
1,on,256,256,57.19,128,11.31,154.492,127,11.38,0,5892bb0f9ad057f76cfc257d765c7e3bbeb7b88666ed683d1105957baf517765
2,on,256,256,57.33,128,10.59,156.114,127,10.65,0,5892bb0f9ad057f76cfc257d765c7e3bbeb7b88666ed683d1105957baf517765
3,off,256,256,57.09,128,11.04,156.911,127,11.11,0,5892bb0f9ad057f76cfc257d765c7e3bbeb7b88666ed683d1105957baf517765
4,on,256,256,57.53,128,11.55,158.797,127,11.63,0,5892bb0f9ad057f76cfc257d765c7e3bbeb7b88666ed683d1105957baf517765
5,off,256,256,56.71,128,11.22,160.435,127,11.29,0,5892bb0f9ad057f76cfc257d765c7e3bbeb7b88666ed683d1105957baf517765
6,off,256,256,57.12,128,11.45,162.060,127,11.53,0,5892bb0f9ad057f76cfc257d765c7e3bbeb7b88666ed683d1105957baf517765
7,on,256,256,57.17,128,10.93,158.241,127,10.99,0,5892bb0f9ad057f76cfc257d765c7e3bbeb7b88666ed683d1105957baf517765
