stress,mode,policy,runs,geometric_speedup_vs_ordinary,min_speedup,max_speedup
fresh_seeds,resident_seed_batch,default,240,1.215638839516306,0.8559689337561517,1.7914239157940972
fresh_seeds,resident_seed_batch,existing_cost_gate,240,1.1737279889291898,0.7474586521415698,1.7914239157940972
fresh_seeds,resident_seed_batch,fixed_1,240,0.830809307220967,0.7524191998444558,0.918415067405766
fresh_seeds,resident_seed_batch,fixed_2,240,0.9571804889666092,0.7782841285350018,1.1515648268240344
fresh_seeds,resident_seed_batch,fixed_3,240,1.0879582463513642,0.6274658841148563,1.7530481165262883
fresh_seeds,resident_seed_batch,fixed_4,240,1.0644346283087829,0.5774561053147005,1.8495779511836243
fresh_seeds,resident_seed_batch,fixed_5,240,1.0306553727934058,0.5358406110374913,1.8135703104347527
fresh_seeds,resident_seed_batch,h1,240,1.1832469558658294,0.9441771030531406,1.7316692103866669
fresh_seeds,resident_seed_batch,h2,240,1.2086782718079851,0.9459653730244452,1.7168261497672896
fresh_seeds,resident_seed_batch,ordinary,240,1.0,1.0,1.0
fresh_seeds,separate_seed,default,240,1.0685081306015134,0.7469791331593325,1.3975269053109305
fresh_seeds,separate_seed,existing_cost_gate,240,1.0820461227822986,0.7939553754401951,1.3975269053109305
fresh_seeds,separate_seed,fixed_1,240,0.830809307220967,0.7524191998444558,0.918415067405766
fresh_seeds,separate_seed,fixed_2,240,0.9571804889666092,0.7782841285350018,1.1515648268240344
fresh_seeds,separate_seed,fixed_3,240,1.0148993913425413,0.7568919170591735,1.2811803748257156
fresh_seeds,separate_seed,fixed_4,240,1.035621529915578,0.7146634770517957,1.3787642413319525
fresh_seeds,separate_seed,fixed_5,240,1.037043391586946,0.6942206856606536,1.4000927772751113
fresh_seeds,separate_seed,h1,240,1.092374960658637,0.9682845605413817,1.3816573786660138
fresh_seeds,separate_seed,h2,240,1.1026064335580534,0.9714949074532745,1.390703558345319
fresh_seeds,separate_seed,ordinary,240,1.0,1.0,1.0
flat_draft,resident_seed_batch,default,240,1.2109540455298837,0.8596728845980781,1.658359965874365
flat_draft,resident_seed_batch,existing_cost_gate,240,1.1743215602278754,0.767560208539297,1.658359965874365
flat_draft,resident_seed_batch,fixed_1,240,0.7578975061983382,0.6775076380510652,0.834687234558667
flat_draft,resident_seed_batch,fixed_2,240,0.8980897806579182,0.7162253632261997,1.0586491648487826
flat_draft,resident_seed_batch,fixed_3,240,1.0419722957405781,0.6006599648815305,1.596233928639735
flat_draft,resident_seed_batch,fixed_4,240,1.0469819984955984,0.5753942357066926,1.6703578389990539
flat_draft,resident_seed_batch,fixed_5,240,1.0292759653169232,0.5549853255550117,1.7331908868836536
flat_draft,resident_seed_batch,h1,240,1.169531831369,0.9430290924955776,1.638883664066867
flat_draft,resident_seed_batch,h2,240,1.1949324433732702,0.9421293485024808,1.673105289500217
flat_draft,resident_seed_batch,ordinary,240,1.0,1.0,1.0
flat_draft,separate_seed,default,240,1.0681939364414577,0.766237816155661,1.368793770859889
flat_draft,separate_seed,existing_cost_gate,240,1.0798151425577218,0.7902261919066661,1.3786037519025731
flat_draft,separate_seed,fixed_1,240,0.7578975061983382,0.6775076380510652,0.834687234558667
flat_draft,separate_seed,fixed_2,240,0.8980897806579182,0.7162253632261997,1.0586491648487826
flat_draft,separate_seed,fixed_3,240,0.9737533017610643,0.7228818729049041,1.2052773994128163
flat_draft,separate_seed,fixed_4,240,1.0172748612408213,0.7191759321211756,1.3073218615358486
flat_draft,separate_seed,fixed_5,240,1.0363900024258983,0.6971690230303177,1.3812555610793602
flat_draft,separate_seed,h1,240,1.0790516916164785,0.9637808283337349,1.3191982276197105
flat_draft,separate_seed,h2,240,1.1000435723937716,0.9649550419846926,1.348195081830588
flat_draft,separate_seed,ordinary,240,1.0,1.0,1.0
expensive_verify,resident_seed_batch,default,240,0.8807287458544761,0.6537645632375818,1.175497927493765
expensive_verify,resident_seed_batch,existing_cost_gate,240,0.8025633883414869,0.5094419533681851,1.175467084676698
expensive_verify,resident_seed_batch,fixed_1,240,0.614519224858799,0.5520066286616112,0.6780027873862577
expensive_verify,resident_seed_batch,fixed_2,240,0.7067373587868109,0.5850028272662674,0.831328482598518
expensive_verify,resident_seed_batch,fixed_3,240,0.6130847649131586,0.3571681858125888,0.9697634886075551
expensive_verify,resident_seed_batch,fixed_4,240,0.601515583665563,0.32480213285368553,0.9832042082412442
expensive_verify,resident_seed_batch,fixed_5,240,0.5822862915660529,0.30576640887807777,1.0496695103898128
expensive_verify,resident_seed_batch,h1,240,0.9568233042743285,0.8921889107782206,1.075148298902844
expensive_verify,resident_seed_batch,h2,240,0.9643186717316324,0.8837036909942366,1.1352823507122218
expensive_verify,resident_seed_batch,ordinary,240,1.0,1.0,1.0
expensive_verify,separate_seed,default,240,0.8061215135266888,0.5894949299211237,1.0432623459596164
expensive_verify,separate_seed,existing_cost_gate,240,0.8347979638195229,0.6274935152806157,1.055286807899668
expensive_verify,separate_seed,fixed_1,240,0.614519224858799,0.5520066286616112,0.6780027873862577
expensive_verify,separate_seed,fixed_2,240,0.7067373587868109,0.5850028272662674,0.831328482598518
expensive_verify,separate_seed,fixed_3,240,0.744783734601438,0.5641142560860486,0.9264286841590449
expensive_verify,separate_seed,fixed_4,240,0.7579515249203255,0.5386130266677803,0.9655759546873498
expensive_verify,separate_seed,fixed_5,240,0.7535664684939661,0.51449051492534,1.0474733629124546
expensive_verify,separate_seed,h1,240,0.9646546765345182,0.9047256052293926,1.0500547874504464
expensive_verify,separate_seed,h2,240,0.9779893285290958,0.9207655767914303,1.0776976704273076
expensive_verify,separate_seed,ordinary,240,1.0,1.0,1.0
cheap_verify,resident_seed_batch,default,240,1.4815270286499855,0.9748525594732274,2.2167206319122834
